Name,Category,Rating,Description,Dogs_Allowed,Address,Photo_URL,Maps_URL
Naama bay beach,Beach pavillion,4.3,N/A,N/A,"W85G+8P4, Sharm El Sheikh 1, South Sinai Governorate 8763103",https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGMDuxuH-8LzLbWBdFBxGYwfM1yOVvCDLHgglMVQiViud_FkbZWZ67N3LzMX1O3nSkZByX0ycf3RBmj5dRaDLPavFgk816oIJre1H8o98DnoXBnepZ5hQK-rDxWBvHLCRrRyg=w408-h306-k-no,"https://www.google.com/maps/place/Naama+bay+beach/@27.9082725,34.321679,16z/data=!4m10!1m2!2m1!1sNaama+Bay+Beach,+Sharm+El+Sheikh!3m6!1s0x1453393819b01149:0xe5d139be1a3a6e12!8m2!3d27.9082725!4d34.3268288!15sCiBOYWFtYSBCYXkgQmVhY2gsIFNoYXJtIEVsIFNoZWlraJIBD2JlYWNoX3BhdmlsbGlvbuABAA!16s%2Fg%2F11gph8c849?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
Aquarius Diving Club [Sharm el-Sheikh],Diving center,4.8,N/A,N/A,"Ra's Nasrani, South Sinai Governorate 46619, Red Sea, Sharm El Sheikh 2, South Sinai Governorate 8752010",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHMTkB_x1q29cHgpVJnT4Xak1EzleTYaxPysXI64cYou0NrOhWsLqTYN1mdjbUuZkvlvHfLPjCxj1Mg64y0aYSt8JMeqIfIvj6n4tfpFpsY5LMABNUIKJvxnLXKomPzoegpF3kK=w408-h306-k-no,"https://www.google.com/maps/place/Aquarius+Diving+Club+%5BSharm+el-Sheikh%5D/@27.9618123,34.3903156,14z/data=!4m9!1m2!2m1!1sShark's+Bay+Beach,+Sharm+El+Sheikh!3m5!1s0x145337c8d20820db:0x91f04a33dcdb7709!8m2!3d27.9734698!4d34.4249923!16s%2Fg%2F1tg3dwn7?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
Aquarius Diving Club [Sharm el-Sheikh],Diving center,4.8,N/A,N/A,"Ra's Nasrani, South Sinai Governorate 46619, Red Sea, Sharm El Sheikh 2, South Sinai Governorate 8752010",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHMTkB_x1q29cHgpVJnT4Xak1EzleTYaxPysXI64cYou0NrOhWsLqTYN1mdjbUuZkvlvHfLPjCxj1Mg64y0aYSt8JMeqIfIvj6n4tfpFpsY5LMABNUIKJvxnLXKomPzoegpF3kK=w408-h306-k-no,"https://www.google.com/maps/place/Aquarius+Diving+Club+%5BSharm+el-Sheikh%5D/@27.97347,34.3837933,13z/data=!4m9!1m2!2m1!1sRas+Um+Sid+Beach,+Sharm+El+Sheikh!3m5!1s0x145337c8d20820db:0x91f04a33dcdb7709!8m2!3d27.9734698!4d34.4249923!16s%2Fg%2F1tg3dwn7?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
Terrazzina Beach,Bar,4.3,N/A,N/A,"el maya bay beside seti sharm hotel, Sharm El Sheikh 1, South Sinai Governorate 46628",https://lh3.googleusercontent.com/gps-cs-s/APNQkAHZ9-W5cLb-IUWYO7Dts5yTwC5ZkXP4kj9kXPBw_2nt0xBeBpT_T7GmgjNhPdZcqtYma8ivooRAgcvYhjkvZM5D-Z4g_JnQ2t1SyDUUQdTkEIpa2xInHjO0f1MLwtrJVDnhjCtGVf9ZfFs=w408-h270-k-no,"https://www.google.com/maps/search/Terrazzina+Beach,+Sharm+El+Sheikh?hl=en"
Nabq Nature Reserve,Nature preserve,4.6,"Marine reserve with fragile desert areas, mangrove stands & protected coral reefs.",N/A,"4CCR+7PP, خليج نبق, Sharm El Sheikh 2, South Sinai Governorate 8755035",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH0WnFMrnIHT2mfpkw0QiVGhwxbBbgzpXwO0pqmUYnE2XG60E5oaqSKOkXTeV_dRfQy_v64XV4YnbmEApapxkVVINbmG6zPeGB384vrZ6b5LmmM_jJYuoCfMFBRKAVbolssoZiTmQ=w426-h240-k-no,"https://www.google.com/maps/search/Nabq+Nature+Reserve,+Sharm+El+Sheikh?hl=en"
الثقب الأزرق,Cave,4.8,N/A,N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHCd0UERUY2lTTQxTLC4mtWZ5DSh7yyfkgdAu4DCt_kBhQPXndhi0-skxHv2nCzPvpoTWpvpNDks8jmP2_eN5Q3d7M-TViAPbBRP6GM-kQhEFxyJKKGHi9HC-DOnoxWm1CDNM-DwoFWwldf=w408-h305-k-no,"https://www.google.com/maps/search/Blue+Hole,+Dahab?hl=en"
Three Pools Dive Site,Diving center,4.5,N/A,N/A,Akaba,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGVH64TLi371RUk7dt9H-Fu3k3JcOV7vYg7oR2I3KQ0ySQTuzW3DZHnNhW-1MQdXGqewP8YggOfpV0HaycixX4UbpBVKqVZGUfbXNDa5HasmtikFRxhflp9u5BMKhSiPNlr2n1_0g=w408-h306-k-no,"https://www.google.com/maps/search/Three+Pools,+Dahab?hl=en"
Laguna Beach Dahab,Public beach,4.7,N/A,N/A,"FGC4+VHH, Laguna, Baby Bay, South Sinai Governorate 46617",https://lh3.googleusercontent.com/gps-cs-s/APNQkAH-vGJr30bO0IF-H3apsN6g-7zbzYxnB41NlxBsCLXkNiWkYh-WZYL86oII0aDFDktV9VlXIXYPTtUYssciHNP1KvYQlqmD1IqL3GuzjN_Gqb7spfzes4EqG_diyl-XUHo_fLTl=w408-h306-k-no,"https://www.google.com/maps/search/Laguna+Beach,+Dahab?hl=en"
Eel Garden,N/A,N/A,N/A,N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE-Ki94FpRZNV4tLTncDsp-RRc_qZ7eomRbSy8m-fy7c3XVxVU4iWbFMop_gAdS9LqIvFDNG_HfIPVA5s9yAoKlIVKiZpzxrjCI25cBuldtyRM3ruVcParH1HDcJFihz7YP-4xakA=w408-h306-k-no,"https://www.google.com/maps/search/Eel+Garden+Reef,+Dahab?hl=en"
Lighthouse Divecenter,N/A,4.5,N/A,N/A,"Masbat, قسم سانت كاترين، South Sinai Governorate",https://lh3.googleusercontent.com/gps-cs-s/APNQkAElo5V363ONPlxa57PQz2JqIJnt88C03tQlH91Gb1CU2fscexxXGJrQeGBA92e8qHKmyw_hf0TWYih0uTcWft4Syn3nZDHbnDY341dYjHQnnDjNmAew2NYsYvuw6GxXtJ732DK7=w408-h306-k-no,"https://www.google.com/maps/search/Lighthouse+Dive+Site,+Dahab?hl=en"
