Place_Name,Rating_Score,city,Rating_Reviews,Price_EGP,Price_USD,Address,Link,Image,Room_Info
Esca Pyramids View,8.8,Cairo,57.0,446.0,9.01,"Giza, Cairo",https://www.booking.com/hotel/eg/esca-pyramids-view.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1596071303_430629617_2_41_0&highlighted_blocks=1596071303_430629617_2_41_0&matching_block_id=1596071303_430629617_2_41_0&sr_pri_blocks=1596071303_430629617_2_41_0__900&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/871961287.webp?k=877036de0003815f00114e7e3ae721fbed62a054661d6d5c79fff7480453bc61&o=,Featured
Royal Hotel Downtown,9.0,Cairo,79.0,1980.0,40.0,Cairo,https://www.booking.com/hotel/eg/royal-cairo-downtown-abdeen1.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1616878404_432547739_2_1_0&highlighted_blocks=1616878404_432547739_2_1_0&matching_block_id=1616878404_432547739_2_1_0&sr_pri_blocks=1616878404_432547739_2_1_0__4000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/876179140.webp?k=794bf54eb81d68695043c1e25f48e3cbc4d4ff979689e0e3f5e3a3dd82c92c0f&o=,Featured
Royal Comfort Inn,9.7,Cairo,42.0,1040.0,21.01,"Giza, Cairo",https://www.booking.com/hotel/eg/comfort-top.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1659138505_437831536_3_1_0_1437632&highlighted_blocks=1659138505_437831536_3_1_0_1437632&matching_block_id=1659138505_437831536_3_1_0_1437632&sr_pri_blocks=1659138505_437831536_3_1_0_1437632_2100&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/881185564.webp?k=39bb08c6324be5d3c1419a9d04db6a980e6a8693922c3375fc28f104aad8ea54&o=,Featured
Sphinx Comfort,9.8,Cairo,145.0,668.0,13.49,"Giza, Cairo",https://www.booking.com/hotel/eg/giza-comfort.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1637425401_434086123_2_1_0_1416226&highlighted_blocks=1637425401_434086123_2_1_0_1416226&matching_block_id=1637425401_434086123_2_1_0_1416226&sr_pri_blocks=1637425401_434086123_2_1_0_1416226_1350&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/880908643.webp?k=87a1d0e255b3e5f670d54fcb0cac3c02cf4d8804cfe037c2779dd72e9ec594d3&o=,Featured
Square Hotel El-Tahrir View,9.3,Cairo,49.0,2971.0,60.02,Cairo,https://www.booking.com/hotel/eg/tahrrrriir-vvv.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1639793005_434583103_2_1_0&highlighted_blocks=1639793005_434583103_2_1_0&matching_block_id=1639793005_434583103_2_1_0&sr_pri_blocks=1639793005_434583103_2_1_0__6000&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/869488499.webp?k=c277e0ec00e561db5e192c7091c8ac99f53085a75d24e8c02077e066e5f57c8c&o=,Featured
Amunet Pyramids View Botique Hotel & Pool,8.5,Cairo,188.0,3244.0,65.54,"Giza, Cairo",https://www.booking.com/hotel/eg/amunet-boutique.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1417635207_413440976_0_41_0&highlighted_blocks=1417635207_413440976_0_41_0&matching_block_id=1417635207_413440976_0_41_0&sr_pri_blocks=1417635207_413440976_0_41_0__6552&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/875430088.webp?k=14094802cfe2590a907c8d5edfb7e350fe7138f7a5c22e15a7357a58f9651098&o=,Featured
ClA Haven-Calma,8.8,Cairo,105.0,1448.0,29.25,Cairo,https://www.booking.com/hotel/eg/hello-egypt.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1577519903_437955459_2_1_0&highlighted_blocks=1577519903_437955459_2_1_0&matching_block_id=1577519903_437955459_2_1_0&sr_pri_blocks=1577519903_437955459_2_1_0__2925&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/879999118.webp?k=39b0430f35a109767c528d93d20d25254034094002cd5dbd68418aed906c9e96&o=,Featured
Park Plaza Haven,8.5,Cairo,43.0,1609.0,32.51,Cairo,https://www.booking.com/hotel/eg/good-haven.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1636305005_434016339_2_1_0_1415905&highlighted_blocks=1636305005_434016339_2_1_0_1415905&matching_block_id=1636305005_434016339_2_1_0_1415905&sr_pri_blocks=1636305005_434016339_2_1_0_1415905_3250&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/864877108.webp?k=88d44c33b9823c0855f5ba1f5bb730f32c447f1868f640915de61901ef7df7f7&o=,CairoShow on map | 1.1 km from downtown | Subway Access
Miramar Evergreen I Tahrir Sqaure,7.4,Cairo,217.0,806.0,16.28,"Downtown Cairo, Cairo",https://www.booking.com/hotel/eg/miramar-evergreen.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1012288105_373868682_0_1_0&highlighted_blocks=1012288105_373868682_0_1_0&matching_block_id=1012288105_373868682_0_1_0&sr_pri_blocks=1012288105_373868682_0_1_0__1627&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/692183638.webp?k=bf6d6b1995dbf8e8ea547cbf3943ef79a7a3fba48a214239010fdabb98cfbf87&o=,Featured
Golden Cairo Hotel Downtown-Tahrir sq,9.4,Cairo,26.0,2309.0,46.65,"Downtown Cairo, Cairo",https://www.booking.com/hotel/eg/golden-downtown-tahrir-sq.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1659877003_437890251_2_1_0&highlighted_blocks=1659877003_437890251_2_1_0&matching_block_id=1659877003_437890251_2_1_0&sr_pri_blocks=1659877003_437890251_2_1_0__4664&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/884375856.webp?k=6521f1723198d4dd143ab94306b12db7a204096458e1666f290e0881e680f423&o=,"Downtown Cairo, CairoShow on map | 20 m from downtown | Subway Access"
Hilton Cairo Grand Nile,8.1,Cairo,12072.0,4966.0,100.32,Cairo,https://www.booking.com/hotel/eg/grand-nile-tower.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=34835850_404461051_2_2_0&highlighted_blocks=34835850_404461051_2_2_0&matching_block_id=34835850_404461051_2_2_0&sr_pri_blocks=34835850_404461051_2_2_0__10030&from_sustainable_property_sr=1&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/838276800.webp?k=4bb8476efdc15b904943cad5b5534a0a6a6b78da86294e4ce2486d6e8732efd2&o=,CairoShow on map | 1.4 km from downtown
City plaza pyramids view,9.0,Cairo,270.0,780.0,15.76,"Giza, Cairo",https://www.booking.com/hotel/eg/city-plaza-pyramids-view.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1486479301_420144770_2_41_0_1346170&highlighted_blocks=1486479301_420144770_2_41_0_1346170&matching_block_id=1486479301_420144770_2_41_0_1346170&sr_pri_blocks=1486479301_420144770_2_41_0_1346170_1575&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/751588953.webp?k=7e255ce6db3f8509bccf7cc7a4a593157635dfd2e998d59eaf2e69a55bf47584&o=,Featured
Royal Cairo View Hotel,9.6,Cairo,20.0,1193.0,24.1,Cairo,https://www.booking.com/hotel/eg/royal-cairo-view.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1635370202_433948127_2_41_0&highlighted_blocks=1635370202_433948127_2_41_0&matching_block_id=1635370202_433948127_2_41_0&sr_pri_blocks=1635370202_433948127_2_41_0__2410&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/864211535.webp?k=0842a71b9f4bf47a4a1d2c8221f16ccc203cae45bf1511a5ef60aee47259087b&o=,Featured
New Montu Pyramids hotel,,Cairo,13.0,463.0,9.35,"Giza, Cairo",https://www.booking.com/hotel/eg/new-montu-pyramids.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9jYWlyb0gzWARoQ4gBAZgBM7gBF8gBDNgBA-gBAfgBAYgCAagCAbgCzr6B0gbAAgHSAiRkZmM1OGI5Mi1kOTY1LTRlNzAtYTE1YS1hN2RkNDEzZjM2ZjfYAgHgAgE&ucfs=1&arphpl=1&checkin=2026-06-28&checkout=2026-06-29&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=3bcba66793d00522&srepoch=1782603620&all_sr_blocks=1662510501_438120126_2_1_0&highlighted_blocks=1662510501_438120126_2_1_0&matching_block_id=1662510501_438120126_2_1_0&sr_pri_blocks=1662510501_438120126_2_1_0__936&from=searchresults,https://cf.bstatic.com/xdata/images/hotel/square600/880843432.webp?k=47ce624394ed3d4933b7a8b26e44025bec752b140c9edc9c060f126e0d67fed2&o=,"Giza, CairoShow on map | 11.6 km from downtown"
