id,name,category,cuisine,rating,phone_number,government,photo_url,maps,is_non_egypt_address
RST-00022,Chez Gaby Au Ritrovo,Pizza restaurant,Pizza,4.3,+2034874404,Alexandria,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF9oMM8a_qjettWrslzzeDj4qs_NloKJCJ2BwVamQGB_kGVD-eQJaEpd3XrRsmSMk7S3QHfuz70MpvVn3KiUmkNqBMiBGhya77iOq_Lv0WcF25o6DJenRlsYdD-ZuZV4xEdsyyG=w408-h353-k-no,https://www.google.com/maps/search/Chez+Gaby?hl=en,False
RST-00023,Cilantro Vogue S90,Coffee shop,Coffee shop,4.9,+201200210606,Cairo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHEcLdsOeDmnhiihi6lJ0PT9VFgAvBPQcusnQZafeDGJ5iF5bpa51lYjEKkjmbbRejRMZqWWipVGNwV6gd1lG0P088_Pte41zMgkN9A8UuQI42DEcSgLttD-ZOfVKwaouybG7zINLDrJeg=w408-h489-k-no,https://www.google.com/maps/search/Cilantro?hl=en,False
RST-00024,Crave,Restaurant,Egyptian,4.7,+201095222976,Alexandria,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFGBHT2zd6O4p_snm1NHVoM_24a-8q8YMrWchJNzEuEI0NpT1AxoR7qnjCqwQ6oxG2TVS00ujhCKtwiPhl6Y5Ql5YYoI95ZC6IvvDT1h2BWw2DfHazCuEzyNdvgDRwdotYZ--z8=w408-h544-k-no,https://www.google.com/maps/search/Crave?hl=en,False
RST-00025,Cup Hungry Restaurant - مطعم كب هانجري,Restaurant,Egyptian,4.4,+201116598333,Cairo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxvriR8-GjdyEflbYPCr7m2GQczeFYEbwb9xfdyRBs2yxlVBXFPMKQtw9f2PlB9-fAg0wAQ_g4qmVTKKcZpmvwQSivEttuFH6C8NDuzPIiAlW8iqORsl_CWNu372YzX94wTiW1a0faFNk=w520-h240-k-no,https://www.google.com/maps/search/Cup+Hungry+Restaurant?hl=en,False
RST-00026,Depresso cafe,Cafe,Cafe,4.3,+971502445434,,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG2hiQYadPX5nEU5VZfeQR-HIl9LKPqQ83psiHvn2_vZECr1ZRjRw1c-6ux74pnYYa0JoAI2RIWH7mdZBrm6t_AKtLrPTLOb4wEhPAIdmriO6VrmGL5qUWiD9w_RszomD8LmnBwNqhWnTcX=w408-h544-k-no,"https://www.google.com/maps/place/Depresso+cafe/@27.9104923,43.1522434,5z/data=!4m10!1m2!2m1!1sDepresso!3m6!1s0x3e5f6a46a094420d:0xb4de4587fd91d5a4!8m2!3d25.1493536!4d55.1984128!15sCghEZXByZXNzb1oKIghkZXByZXNzb5IBBGNhZmXgAQA!16s%2Fg%2F11dxjv4rrm?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",True
RST-00027,Délices Patisserie Alexandria,Dessert restaurant,Dessert,4.3,+2034861432,Alexandria,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFgf_Yrmw_upDtEhL29qdXhSURY3grtNLBiGNEC58T-N-IAN--mkSiLtidnyqHmcP2wUMv2xZ3KStNyXnvC3KpskkaFvb5FA-hx-FWJDbKlNYGsvUMEGwrqMLOl1xMYgGiWORw-pA=w408-h327-k-no,"https://www.google.com/maps/place/D%C3%A9lices+Patisserie+Alexandria/@31.200107,29.2403732,9z/data=!3m1!5s0x14f5c3ede620d75b:0x17547b0be0df4fe9!4m10!1m2!2m1!1sDelices!3m6!1s0x14f5dad28f33e327:0xc70657569f1e2b35!8m2!3d31.200107!4d29.8995529!15sCgdEZWxpY2VzWgkiB2RlbGljZXOSARJkZXNzZXJ0X3Jlc3RhdXJhbnTgAQA!16s%2Fg%2F1vlwtllc?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",False
RST-00028,EL Hamra Street Restaurant,Lebanese restaurant,Lebanese,4.1,+201551383006,Cairo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGmXqJD0UM6lWPNIvxsFj82ixC96P4-bQ-8334d03jz5WJmQErW87jGAy8kkeXfSVr4ESWP8jiC_sGGIOABEPL2MIKqF3GVfWEX1xo2StnKCZtS225pU5-lSAWjfqHPhEep-serNGhiHwfH=w408-h544-k-no,https://www.google.com/maps/search/Al+Hamra+Street?hl=en,False
RST-00029,Egyptian Nights,Egyptian restaurant,Egyptian,4.0,+20227394631,Cairo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHQ-MSEHcWXMepDDtySgC1GmM7gQjsacFZByr-IzWVbumHMifH0TyONipIk33UObZOtcdKWJ4gRS6tLdA_8wfJE9ik4R5EF9q-WuOXDyKiiZVsIPQ9RFnTvZbWkVRmqoFImbvI5TKOvK6w2=w408-h306-k-no,"https://www.google.com/maps/place/Egyptian+Nights/@30.0568652,31.2243188,17z/data=!3m1!4b1!4m6!3m5!1s0x145840dd89dfbdcb:0xc5c4a375f06d69f4!8m2!3d30.0568652!4d31.2243188!16s%2Fg%2F1s04f2z74?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",False
RST-00030,El Dahan - South Park Madinaty الدهان مدينتي,Barbecue restaurant,Barbecue,4.8,+20221250000,Cairo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHwsf2rRQiU7bE3zD42U_3xX9SX-m_vx7jh-SqdjH70HKBO8AbaBxOUQJxb6o3Yn0jk0M3jkbX75JLSBGuFyM4TZd_L2mnRXgue23p4T05rI0wbFZLca0RcKURFAKzmcA3n_Vk7dQ=w408-h306-k-no,"https://www.google.com/maps/place/El+Dahan+-+South+Park+Madinaty+%D8%A7%D9%84%D8%AF%D9%87%D8%A7%D9%86+%D9%85%D8%AF%D9%8A%D9%86%D8%AA%D9%8A%E2%80%AD/@30.0476926,31.3323343,11z/data=!4m10!1m2!2m1!1sAl+Dahan!3m6!1s0x1457f66555555555:0x65cc1bd570581b96!8m2!3d30.084493!4d31.6406662!15sCghBbCBEYWhhbloKIghhbCBkYWhhbpIBE2JhcmJlY3VlX3Jlc3RhdXJhbnSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnhTYTJKV2NIQlNhbWhTVEZWMFNXTkZPVzFsVjA0d1RsWlplbFJzUlJBQuABAPoBBQiSAhBM!16s%2Fg%2F11c2l8z48l?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",False
RST-00031,El Dokka Resturant,Barbecue restaurant,Barbecue,4.2,+201111505032,Aswan,https://lh3.googleusercontent.com/gps-cs-s/APNQkAElspbFQmm0aBP4vd6IN8n10mdjdx54fZrSNkh0Hu3aQwu9dPMvCG8PMdHHcoWwdAFCj_4Bq2_ZK0kYnVRnr_iqWqTY2rcfTxJZSc7rvUZWkTH7jjGzb_3otB5bxU2watXMmKWs=w408-h306-k-no,https://www.google.com/maps/search/Al+Dokka?hl=en,False
RST-00032,El Gahsh,Falafel restaurant,Falafel,3.9,+201115195256,Cairo,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGGaVcTcfoALYhz1GELPbuW87jINpJjyqv-7ARnCvga8pfA_9UXZ4K3xKiZPXtFEj2thCaxkDD7tpRWDEkibFVrusQaJSIX3K7SIv6Vl1GT7FWYpgYlXC0AXjcA0n2LJH_bS2Id27mmUq0=w408-h306-k-no,https://www.google.com/maps/search/El+Gahsh?hl=en,False
RST-00033,El Kababgy restaurant,Barbecue restaurant,Barbecue,4.2,+201063053134,Kafr El Sheikh,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFr-AS3naDuQmxUhIwZ5aT2c6kvpq-K8CQwLB0It8vQfLb1EGYQTf7_shm5EvM-dtHGvNAhNUGsEffQ56xYWwREdsKFg29XtwzHu6oL4sAEFvL-DW9XAwiqST7iGbIOgb_zEnIgrg=w408-h544-k-no,https://www.google.com/maps/search/Kababgy?hl=en,False
RST-00034,El Prince Restaurant,Restaurant,Egyptian,4.3,+20238506139,Giza,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE_LYHRILfsAooIM4BXKXgGtK4K8ESNRXRT0npdJT6MqaoIK-fO0REmWTjxyYVOnyCNF7bLXN1RysyfZX6TAsxqxVC58VzBCdgSCRw9qhE8Ph--c0ZCm0wjN0EO2RyLoKmlHrvR2Ojn2MRG=w408-h272-k-no,"https://www.google.com/maps/place/El+Prince+Restaurant/@30.0377633,30.6790581,10z/data=!4m10!1m2!2m1!1sEl+Prince!3m6!1s0x145840b8c9220f9f:0x8cb71efc2893ffa!8m2!3d30.0377633!4d31.0086479!15sCglFbCBQcmluY2VaCyIJZWwgcHJpbmNlkgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F1th5frjn?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",False
RST-00035,El sultan Fish Restaurant 🐠 🐟,Restaurant,Egyptian,5.0,0,South Sinai,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEhY3Cm0hoazjZJV6qgxTn2utc451Id2Ob4F-tE9PjNTCASZTO4Mkc6c91-lm4tc8SJCFhv3qSNL6xLbgKvFB-TtfN92eRwlPpg-RCszz3IrAWug2zKWy2k91uoJRlePhveb5MNf73ZzJQn=w408-h544-k-no,"https://www.google.com/maps/place/El+sultan+Fish+Restaurant+%F0%9F%90%A0+%F0%9F%90%9F/@29.0449232,34.5809287,12z/data=!4m10!1m2!2m1!1sNuweiba+Beach+Restaurant!3m6!1s0x15aacf0059a0df9d:0xfc3fb7a6a1f03a6a!8m2!3d29.0449232!4d34.6633262!15sChhOdXdlaWJhIEJlYWNoIFJlc3RhdXJhbnRaGiIYbnV3ZWliYSBiZWFjaCByZXN0YXVyYW50kgEKcmVzdGF1cmFudJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNUtRbUZxVGpCaFJ6RXlUbFZLZUdReU1XRmlWa0o1VDBob05rOVlZeEFC4AEA-gEECAAQQA!16s%2Fg%2F11x2_4gy28?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D",False
RST-00036,Farsha Cafe,Coffee shop,Coffee shop,4.3,+201200300162,South Sinai,https://lh3.googleusercontent.com/gps-cs-s/APNQkAF2gxHV2gSI9_ihau0NKHkYV9ELLbuhv7_xiUAOzEn4_xsrVqHpmARH1krdKLfORP0frywHxmceho6MlHMce77yky8lpaAAJRTouZOWKc1CjU5LJJeKATn48yEpTUp5DJvIYAPP=w426-h240-k-no,https://www.google.com/maps/search/Farsha+Mountain+Lounge?hl=en,False
