restaurant_key,governorate_key,cuisine_key,name,category,rating,phone_number,photo_url,maps
RST-00053,1,11,Koshary El Tahrir,Egyptian restaurant,4.1,0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGsPL54FCbDLXqOJphv7UXDoJA8CrvaoRZlb5lIs1V37ykbfP7hZV2FaG0d9IcIy-gtwNe00WEbtYXW4NyQjIplnhMOPx5RYrIydM8FN-1yWDW5rwvRnQHK5TmVNLnDCykyrVpp94UZaIo=w520-h240-k-no,"https://www.google.com/maps/place/Koshary+El+Tahrir/@31.2695965,29.3327109,9z/data=!4m10!1m2!2m1!1sKoshary+El+Tahrir!3m6!1s0x14f5db2cec3c307d:0xf795968329d38ead!8m2!3d31.2695965!4d29.9918906!15sChFLb3NoYXJ5IEVsIFRhaHJpcloTIhFrb3NoYXJ5IGVsIHRhaHJpcpIBE2VneXB0aWFuX3Jlc3RhdXJhbnSaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmtNRWsyVVd4blJSQULgAQD6AQQIABBB!16s%2Fg%2F11gy3n06xq?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00054,1,11,La Alexandria Asian Restaurant & Cafe,Restaurant,4.9,+201288944699,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGAiTJB4_jl7B6I0s8nG1uasDavgI6QtwG5KS_HlaMEna8R2oypB5r-cJ2cOz-r2Atk1E91Hu43HJYW78yzQu9JGpy3ZWRn0K966MLvXj4TAqpgNavsqc9PbY8Wv-DQ8jLzma3Dh2tJ1VI=w408-h255-k-no,https://www.google.com/maps/search/La+Alexandria+Asian+Restaurant+&+Cafe?hl=en
RST-00055,9,11,Latino Cafe & Restaurant - مطعم و كافيه لاتينو,Restaurant,4.1,+201284177773,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGs7DjXPeyEJByTNkaBDmbjdl3cvuINH0jYv24TNMuEu2BsIPieFMeiziPWdtxbyxrlk_k_rN5_ox-ZpX2mfgksGPlfr8Pv0Fd5uWKH0_lsDAEFof5csfihFG0kHqkRhDjMiPax=w408-h306-k-no,"https://www.google.com/maps/place/Latino+Cafe+%26+Restaurant+-+%D9%85%D8%B7%D8%B9%D9%85+%D9%88+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D9%84%D8%A7%D8%AA%D9%8A%D9%86%D9%88%E2%80%AD/@30.6249435,30.7164228,9z/data=!4m10!1m2!2m1!1sLatino+Cafe!3m6!1s0x145840d64d7e613b:0x4c0c64e85dfc5949!8m2!3d30.0452944!4d31.2188481!15sCgtMYXRpbm8gQ2FmZVoNIgtsYXRpbm8gY2FmZZIBCnJlc3RhdXJhbnTgAQA!16s%2Fg%2F11bxg1ccy9?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00057,6,11,Le Deck,Restaurant,4.2,+20227373737,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFXltc1LmVwEYmS2tH-aj10qq4alpEDfb_9EQq8KMFUMIDvdDt9mZPr0-MmwrvPrcNJuDlBus-4qjhZixRD491YUKuAuO52w4U3Ew8_7DL321ATiRTN3mVycQFeKI9T99rYVNUedw=w408-h294-k-no,https://www.google.com/maps/search/Le+Deck+by+Laurent+Peugeot?hl=en
RST-00058,6,11,Le Pacha 1901,Restaurant,4.3,+20227356730,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGz4XeL63xzUgr31BFNOE2Xqmexdv0psWEyd4V1o4qMVzWEEBZ1F28qQQBB0zdyp5v1LS0xlnFNrn184WBp670HuvJwczd7tm0KPfG1Ig1HyZfkpqOdtPfviHl9Kpq722NOO4qWNSPoCr8=w408-h272-k-no,"https://www.google.com/maps/place/Le+Pacha+1901/@30.0517255,29.9091223,8z/data=!4m10!1m2!2m1!1sL'Asiatique!3m6!1s0x145840dcbad063ed:0xeb449deffe198cd8!8m2!3d30.0517255!4d31.2274817!15sCgtMJ0FzaWF0aXF1ZVoNIgtsIGFzaWF0aXF1ZZIBCnJlc3RhdXJhbnSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjE0WVZJeU5VTmxWV3h5VDBoT1RWWlVXWHBSTUdoWVUyczFXbGt5WXhBQuABAPoBBQiYARBC!16s%2Fg%2F1tff00lr?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00062,17,11,"MOODS Restaurant & Beach Club, El Gouna",Restaurant,4.2,+201220900777,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHB-_WusmOVksG_9Z-fq2y0j65PrNeFPAoZe7PzQxt56Ty15gJRXKyt3oqKfTkAZaf53DUripk8ny9akzRFpLZHXF0GaGC9GbODxgGH5-ovixf-88W0_wg_FVq7WEzkgVM0gZ_cWf4F_jg=w408-h544-k-no,https://www.google.com/maps/search/Moods+Restaurant+&+Beach+Club?hl=en
RST-00063,12,26,Magdy Seafood,Seafood restaurant,4.0,+201271077771,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGf90Ytm0MW3xH_90wu0XcUF9DJ8hqtbikOAPiPDzC7e6WBgPPvF7FKLJgD93OnfkSOGyU61YJhfC4ciAXVa1KqoZS-pGC2sxiFEUB9wzhbofXd2JtqXei19an1R8Tkfe440S_C7w=w493-h240-k-no,"https://www.google.com/maps/place/Magdy+Seafood/@31.353135,27.0756078,11z/data=!4m10!1m2!2m1!1sMarsa+Matruh+seafood+restaurants!3m6!1s0x1461fecba776ec9b:0x2f612289a12253cf!8m2!3d31.353135!4d27.2404027!15sCiBNYXJzYSBNYXRydWggc2VhZm9vZCByZXN0YXVyYW50c1oiIiBtYXJzYSBtYXRydWggc2VhZm9vZCByZXN0YXVyYW50c5IBEnNlYWZvb2RfcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpha1ozVGt3eGF6UjZVR05uRUFF4AEA-gEECAAQOw!16s%2Fg%2F11cn9rywzf?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00064,6,6,Makani Cafe,Cafe,4.4,0,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG8fMtN7qqKFw7zbXNUAohM1BLqcUEggt0-Y6742RCq7fvOanOiYXgYg_IKkScv6sI_sCk8HGgfKmHWv75EcQ9zOmq1MKhs0IBcxCTBGwKeHoHHh6x3ZzjaKv_KnT2NhnPyJRI_2Q=w408-h725-k-no,https://www.google.com/maps/search/Makani+Cafe?hl=en
RST-00065,6,11,Mawlay,Restaurant,3.4,+201200000133,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEFDi0cmZAJ2qWgvOMos_uRRFLIdLhWKX1Jw_Zzh7Koq8x-y8-tGl1eXTbmwXUsZV-AlZ0MofHvNRYlre0w8R-_dGnkOZx0lZiu8dj89HhwS7WfW1CcjfuyIHDqcKND9A99K10tpw=w48-h48-p-k-no,"https://www.google.com/maps/place/Mawlay/@30.0434116,31.2412838,16z/data=!4m10!1m2!2m1!1sMawlay!3m6!1s0x14584746c280bcfd:0xc8782495bd0505f!8m2!3d30.0434116!4d31.2464336!15sCgZNYXdsYXlaCCIGbWF3bGF5kgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11r99qdypj?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
RST-00066,9,11,Mori Sushi - Zayed,Restaurant,4.7,+201208888492,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGAAew4VB2oYDzo8EDCSDYRiKpcHpVEvkiAtsT5rvthMELDhUFLAsw4vjBzBhlKksaUfH5MYRSAgnCS-XG3mmWNwhHiCEX4LGwAwXzGzP2nQVzgfhHMSCWzxphq38CWfYyeTlNW=w408-h544-k-no,"https://www.google.com/maps/place/Mori+Sushi+-+Zayed/@30.5903633,29.8113849,8z/data=!4m10!1m2!2m1!1sMori+Sushi!3m6!1s0x14585b355f611253:0xdef6ce64280ac928!8m2!3d30.0258073!4d31.0123343!15sCgpNb3JpIFN1c2hpIgOIAQFaDCIKbW9yaSBzdXNoaZIBCnJlc3RhdXJhbnSaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjE0TW1SSWFFZFRlbVJDVWtSc2RWRlZaM2RUU0doUlRXNU9VVTFzUlJBQuABAPoBBAg4EEQ!16s%2Fg%2F11f60v6ggz?hl=en&entry=ttu&g_ep=EgoyMDI2MDYyOS4wIKXMDSoASAFQAw%3D%3D"
